Customer_ID,predicted_churn_risk,predicted_customer_health,recommended_action,customer_message,Top_3_Rewards,Scores,Business_Insight,Expected_Impact,Cluster,Persona
C0011,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 76.18, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 74.48, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 74.48, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[76.18, 74.48, 74.48]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0012,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 75.67, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 73.97, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 73.97, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[75.67, 73.97, 73.97]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0013,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 76.28, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 74.58, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 74.58, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[76.28, 74.58, 74.58]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0014,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 74.34, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 72.64, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 72.64, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[74.34, 72.64, 72.64]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0015,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 74.99, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 73.29, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 73.29, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[74.99, 73.29, 73.29]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0016,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 75.01, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their security preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 73.31, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their security preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 73.31, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their security preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[75.01, 73.31, 73.31]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0017,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 77.52, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 75.82, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 75.82, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[77.52, 75.82, 75.82]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0018,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 78.79, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 77.09, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 77.09, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[78.79, 77.09, 77.09]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0019,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 75.39, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their smart home preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 73.69, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their smart home preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 73.69, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their smart home preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[75.39, 73.69, 73.69]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0020,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 73.2, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 71.5, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 71.5, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[73.2, 71.5, 71.5]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0021,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 77.84, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their tv preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 76.14, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their tv preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 76.14, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their tv preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[77.84, 76.14, 76.14]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0022,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 78.17, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their security preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 76.47, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their security preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 76.47, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their security preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[78.17, 76.47, 76.47]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0023,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 77.43, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 75.73, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 75.73, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[77.43, 75.73, 75.73]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
