Customer_ID,Membership_Tier,Customer_Since,Age,Gender,City,Occupation,Income_Level,Total_Transactions_6M,Total_Spend_6M,Average_Order_Value,Preferred_Brand,Reward_Utilization,Reward_Expiry_Risk,Purchase_Frequency,Loyalty_Engagement,Days_Since_Last_Purchase,Upgrade_Readiness,Customer_Health,Churn_Risk,favorite_category,favorite_brand,top_merchant,category_diversity,brand_diversity,spending_diversity_score,average_days_between_purchases,seasonality_score,recency,frequency,monetary,total_spend,average_order_value,purchase_frequency,days_since_last_purchase,reward_points_earned,reward_points_redeemed,reward_utilization_pct,coupon_usage_pct,reward_redemption_rate,average_reward_per_transaction,website_visits,session_duration,wishlist_added,cart_abandoned,email_click_rate,push_notification_response,app_usage_score,customer_engagement_score,online_purchase_ratio,offline_purchase_ratio,weekend_shopping_ratio,average_monthly_spend,customer_lifetime_value,estimated_annual_spend,profitability_score,customer_health_score,upgrade_readiness_score,churn_risk_score,loyalty_score,high_value_customer_flag,dormancy_flag,premium_customer_flag
C0011,Silver,2023-09-25,39,Female,Bengaluru,Doctor,Low,8,804060,100507.5,Apple,0.43,0.16,1.33,High,53,No,Needs Attention,Low,Audio,Apple,Online,4,2,0.9528195282293931,17.857142857142858,0.675632140377203,54,8,804060.0,804060.0,100507.5,1.3333333333333333,54,8038.0,3473.0,43.207265435173845,37.5,0.3593749996281302,1004.75,77.0,11.875,0.0,0.0,0.0,0.0,100.0,78.0,0.875,0.125,0.125,134010.0,4556890.35,1608120.0,241183.27,40.0,0.0,10.0,65.04145308703477,1,0,0
C0012,Bronze,2020-06-10,46,Male,Delhi,CA,High,8,730840,91355.0,Bose,0.49,0.08,1.33,Medium,34,No,Needs Attention,Low,Speaker,Bose,App,3,2,0.8868595044121972,17.571428571428573,0.2727627896838987,35,8,730840.0,730840.0,91355.0,1.3333333333333333,35,7304.0,3572.0,48.90470968112718,37.5,0.4128048071041202,913.0,72.0,19.0,0.0,0.0,0.0,0.0,100.0,66.0,0.875,0.125,0.5,121806.66666666667,8952164.71,1461680.0,219216.28,40.0,0.0,10.0,55.080941936225436,0,0,0
C0013,Silver,2024-07-25,36,Female,Mumbai,Engineer,Low,10,871684,87168.4,Sony,0.44,0.0,1.67,High,31,No,Needs Attention,Low,Audio,Sony,Offline,5,2,0.9138646852786468,9.444444444444445,1.0017448112759169,32,10,871684.0,871684.0,87168.4,1.6666666666666667,32,8713.0,3833.0,43.99173643522124,60.0,0.3939362791429226,871.3,101.0,16.8,0.0,0.0,0.0,0.0,100.0,78.0,0.6,0.4,0.1,145280.66666666666,3489122.54,1743368.0,261466.87,40.0,0.0,10.0,65.19834728704424,1,0,0
C0014,Bronze,2021-05-16,26,Male,Hyderabad,Engineer,Medium,8,608255,76031.88,Apple,0.28,0.11,1.33,High,2,No,Critical,Low,Audio,Apple,Online,3,4,0.6695919428050616,25.285714285714285,0.542980310282297,3,8,608255.0,608255.0,76031.875,1.3333333333333333,3,6079.0,1690.0,27.80062505708073,12.5,0.23709315342719817,759.875,100.0,13.375,0.0,0.0,0.0,0.0,100.0,78.0,0.625,0.375,0.0,101375.83333333333,6318191.57,1216510.0,182459.6,10.0,0.0,10.0,54.460125011416146,0,0,0
C0015,Bronze,2023-01-02,52,Male,Ahmedabad,Student,High,6,563759,93959.83,Bose,0.43,0.0,1.0,Medium,14,No,Needs Attention,Low,Speaker,Bose,Online,3,2,0.9206198329835873,18.8,0.8752858919339395,15,6,563759.0,563759.0,93959.83333333333,1.0,15,5634.0,2442.0,43.34398288366351,50.0,0.34206471446692155,939.0,41.0,17.333333333333332,0.0,0.0,0.0,0.0,99.33333333333333,65.84,0.6666666666666666,0.3333333333333333,0.0,93959.83333333333,4016155.83,1127518.0,169103.28,40.0,0.0,10.0,53.9207965767327,0,0,0
C0016,Silver,2019-10-11,27,Female,Bengaluru,Doctor,Low,8,640622,80077.75,Google Nest,0.33,0.0,1.33,High,13,No,Critical,Low,Security,Google Nest,Offline,4,3,0.9056390593441763,12.428571428571429,0.6331487159329219,14,8,640622.0,640622.0,80077.75,1.3333333333333333,14,6402.0,2139.0,33.41143387470879,25.0,0.28026729523025773,800.25,71.0,24.5,0.0,0.0,0.0,0.0,100.0,78.0,0.5,0.5,0.125,106770.33333333333,8699480.14,1281244.0,192165.21,10.0,0.0,10.0,63.08228677494176,0,0,0
C0017,Platinum,2023-04-29,33,Male,Pune,Engineer,High,6,315947,52657.83,Apple,0.39,0.22,1.0,Medium,7,No,Critical,Low,Audio,Apple,App,3,3,0.9999999972692823,26.0,1.246044128605624,8,6,315947.0,315947.0,52657.833333333336,1.0,8,3156.0,1241.0,39.321926364632674,33.33333333333333,0.3444351919388421,526.0,92.0,18.5,0.0,0.0,0.0,0.0,100.0,66.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,52657.833333333336,2048357.28,631894.0,94771.69,10.0,0.0,10.0,75.66438527292654,0,0,1
C0018,Silver,2023-05-19,46,Female,Ahmedabad,Doctor,Low,8,521715,65214.38,Bose,0.65,0.05,1.33,High,47,No,Needs Attention,Low,Audio,Bose,App,3,3,0.8868595044121972,15.0,0.5756855243440557,48,8,521715.0,521715.0,65214.375,1.3333333333333333,48,5213.0,3385.0,64.93381917334776,50.0,0.617588030254355,651.625,88.0,24.25,0.0,0.0,0.0,0.0,100.0,78.0,0.875,0.125,0.5,86952.5,3325263.57,1043430.0,156480.65,40.0,0.0,10.0,69.38676383466955,0,0,0
C0019,Gold,2020-06-19,31,Female,Bengaluru,Doctor,Medium,4,266543,66635.75,Google Nest,0.25,0.04,0.67,Medium,32,No,Critical,Low,Smart Home,Google Nest,App,2,2,0.8112781215737428,39.666666666666664,0.35626201728726853,33,4,266543.0,266543.0,66635.75,0.6666666666666666,33,2663.0,657.0,24.671423114264275,50.0,0.19216145015454386,665.75,32.0,20.75,0.0,0.0,0.0,0.0,84.75,62.339999999999996,0.75,0.25,0.25,44423.833333333336,3251788.11,533086.0,79956.33,10.0,0.0,10.0,64.13628462285286,0,0,1
C0020,Bronze,2022-02-11,60,Male,Mumbai,Manager,Medium,5,414773,82954.6,Sony,0.28,0.19,0.83,Medium,30,No,Critical,Low,Audio,Sony,Offline,4,2,0.960964044558291,35.0,0.6564713217284674,31,5,414773.0,414773.0,82954.6,0.8333333333333334,31,4144.0,1173.0,28.30598448767861,80.0,0.21554575484096702,828.8,83.0,29.4,0.0,0.0,0.0,0.0,100.0,66.0,0.4,0.6,0.2,69128.83333333333,3692927.57,829546.0,124420.17,10.0,0.0,10.0,50.96119689753572,0,0,0
C0021,Gold,2024-06-04,60,Male,Mumbai,Business,Low,6,707040,117840.0,Samsung,0.42,0.11,1.0,Medium,42,No,Needs Attention,Low,TV,Samsung,Offline,4,4,0.8962406222948989,18.8,0.3005089274253549,43,6,707040.0,707040.0,117840.0,1.0,43,7068.0,2970.0,42.02037345497966,16.666666666666664,0.37264742738689155,1178.0,86.0,13.666666666666666,0.0,0.0,0.0,0.0,100.0,66.0,0.0,1.0,0.16666666666666666,117840.0,3027544.31,1414080.0,212082.3,40.0,0.0,10.0,68.70407469099592,0,0,1
C0022,Gold,2024-04-17,59,Male,Hyderabad,Doctor,Low,9,681013,75668.11,Google Nest,0.35,0.11,1.5,High,9,No,Critical,Low,Security,Google Nest,Online,4,3,0.8288713603670543,20.125,0.8238591478947523,10,9,681013.0,681013.0,75668.11111111111,1.5,10,6805.0,2362.0,34.70977217529791,44.44444444444444,0.2899582613675936,756.1111111111111,118.0,16.11111111111111,0.0,0.0,0.0,0.0,100.0,78.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,113502.16666666667,3095089.88,1362026.0,204280.28,10.0,0.0,10.0,70.84195443505958,0,0,1
C0023,Bronze,2021-06-08,58,Female,Bengaluru,Engineer,Low,8,650997,81374.62,Samsung,0.54,0.0,1.33,High,24,No,Needs Attention,Low,Audio,Samsung,App,3,3,0.8868595044121972,10.857142857142858,0.6072595518213696,25,8,650997.0,650997.0,81374.625,1.3333333333333333,25,6506.0,3484.0,53.55056862350052,50.0,0.4785714279140503,813.25,68.0,21.0,0.0,0.0,0.0,0.0,100.0,78.0,0.75,0.25,0.125,108499.5,6680182.77,1301994.0,195264.26,40.0,0.0,10.0,59.6101137247001,0,0,0
C0024,Platinum,2021-04-05,49,Female,Bengaluru,Student,Medium,9,684625,76069.44,Apple,0.61,0.02,1.5,High,17,No,Needs Attention,Low,Audio,Apple,Offline,4,2,0.8763576366044623,20.375,1.0285553164545522,18,9,684625.0,684625.0,76069.44444444444,1.5,18,6842.0,4172.0,60.976322623536504,44.44444444444444,0.5606019879594168,760.2222222222222,84.0,17.666666666666668,0.0,0.0,0.0,0.0,100.0,78.0,0.5555555555555556,0.4444444444444444,0.2222222222222222,114104.16666666667,7265178.64,1369250.0,205345.78,40.0,0.0,10.0,83.5952645247073,0,0,1
C0025,Gold,2020-06-28,33,Female,Bengaluru,Business,High,5,372912,74582.4,Google Nest,0.53,0.13,0.83,Medium,83,No,Needs Attention,Low,Security,Google Nest,App,2,1,0.7219280920019722,21.25,0.6014299441644292,84,5,372912.0,372912.0,74582.4,0.8333333333333334,84,3727.0,1957.0,52.50872000936753,40.0,0.45374449234003134,745.4,61.0,19.4,0.0,0.0,0.0,0.0,100.0,66.0,0.8,0.2,0.4,62152.0,4531097.76,745824.0,111854.03,40.0,0.0,10.0,70.8017440018735,0,1,1
C0026,Gold,2020-11-03,42,Female,Hyderabad,CA,Low,7,854062,122008.86,Samsung,0.34,0.1,1.17,Medium,17,No,Critical,Low,Audio,Samsung,App,4,3,0.9211854937031643,24.666666666666668,0.6768903344464218,18,7,854062.0,854062.0,122008.85714285714,1.1666666666666667,18,8538.0,2892.0,33.872101154987,57.14285714285714,0.2872752555008689,1219.7142857142858,58.0,17.428571428571427,0.0,0.0,0.0,0.0,100.0,66.0,0.8571428571428571,0.14285714285714285,0.0,142343.66666666666,9778746.84,1708124.0,256189.68,10.0,0.0,10.0,67.07442023099739,1,0,1
C0027,Bronze,2023-12-30,32,Male,Hyderabad,Engineer,High,9,841424,93491.56,Google Nest,0.39,0.08,1.5,High,5,No,Critical,Low,Security,Google Nest,Offline,3,2,0.8783471020311359,21.625,0.8832006848071369,6,9,841424.0,841424.0,93491.55555555556,1.5,6,8408.0,3267.0,38.85585152372044,44.44444444444444,0.35001071314547816,934.2222222222222,96.0,21.666666666666668,0.0,0.0,0.0,0.0,100.0,78.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,140237.33333333334,4326336.13,1682848.0,252394.53,10.0,0.0,10.0,56.67117030474409,1,0,0
C0028,Bronze,2023-05-16,54,Female,Delhi,CA,Medium,9,892377,99153.0,Bose,0.39,0.12,1.5,Medium,9,No,Critical,Low,Audio,Bose,App,3,2,0.8783471020311359,18.875,0.5627151228667703,10,9,892377.0,892377.0,99153.0,1.5,10,8920.0,3489.0,39.11434973193459,55.55555555555556,0.3505123564893386,991.1111111111111,117.0,22.77777777777778,0.0,0.0,0.0,0.0,100.0,66.0,0.5555555555555556,0.4444444444444444,0.3333333333333333,148729.5,5702417.3,1784754.0,267678.21,10.0,0.0,10.0,53.12286994638691,1,0,0
C0029,Gold,2019-12-02,39,Male,Ahmedabad,Business,High,6,758893,126482.17,Apple,0.58,0.01,1.0,Medium,48,No,Needs Attention,Low,Audio,Apple,Online,6,4,0.9999999966513362,16.4,0.5042969264995593,49,6,758893.0,758893.0,126482.16666666667,1.0,49,7586.0,4384.0,57.79066694201072,50.0,0.5212841848736217,1264.3333333333333,75.0,15.666666666666666,0.0,0.0,0.0,0.0,100.0,66.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,126482.16666666667,10089485.03,1517786.0,227624.06,40.0,0.0,10.0,71.85813338840214,0,0,1
C0030,Bronze,2025-03-04,31,Male,Ahmedabad,CA,High,7,689303,98471.86,Sony,0.25,0.25,1.17,Medium,8,No,Critical,Low,Audio,Sony,App,3,3,0.8699155270429084,21.166666666666668,0.2224639715190123,9,7,689303.0,689303.0,98471.85714285714,1.1666666666666667,9,6890.0,1703.0,24.71698109620177,100.0,0.21063698180502538,984.2857142857143,65.0,17.0,0.0,0.0,0.0,0.0,100.0,66.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,114883.83333333333,1921178.52,1378606.0,206773.87,10.0,0.0,10.0,50.24339621924035,0,0,0
C0031,Gold,2023-10-03,56,Female,Bengaluru,Engineer,Medium,4,519677,129919.25,Sony,0.38,0.07,0.67,Medium,31,No,Critical,Low,TV,Sony,App,2,1,0.8112781215737428,30.333333333333332,0.10710823271099242,32,4,519677.0,519677.0,129919.25,0.6666666666666666,32,5195.0,1999.0,38.479306951916634,75.0,0.31599747025609,1298.75,41.0,23.0,0.0,0.0,0.0,0.0,100.0,66.0,1.0,0.0,0.0,86612.83333333333,2922427.26,1039354.0,155883.11,10.0,0.0,10.0,67.99586139038333,0,0,1
C0032,Gold,2022-01-13,39,Female,Mumbai,Manager,Medium,8,605183,75647.88,Samsung,0.37,0.0,1.33,High,51,No,Critical,Low,Smartphone,Samsung,App,3,2,0.8868595044121972,9.428571428571429,0.7485670675784564,52,8,605183.0,605183.0,75647.875,1.3333333333333333,52,6048.0,2222.0,36.7394179286716,87.5,0.31948238631275,756.0,79.0,15.875,0.0,0.0,0.0,0.0,100.0,78.0,0.875,0.125,0.25,100863.83333333333,5484341.49,1210366.0,181532.68,10.0,0.0,10.0,71.24788358573431,0,0,1
C0033,Silver,2025-04-18,38,Male,Pune,Engineer,High,5,251388,50277.6,Apple,0.53,0.09,0.83,Medium,6,No,Needs Attention,Low,TV,Apple,Offline,4,3,0.960964044558291,34.75,0.40897382764955986,7,5,251388.0,251388.0,50277.6,0.8333333333333334,7,2512.0,1321.0,52.58757940848893,60.0,0.42571704664609394,502.4,54.0,16.6,0.0,0.0,0.0,0.0,100.0,66.0,0.6,0.4,0.6,41898.0,638707.91,502776.0,75403.19,40.0,0.0,10.0,63.31751588169779,0,0,0
C0034,Gold,2021-05-03,29,Male,Bengaluru,Engineer,High,5,502878,100575.6,Sony,0.48,0.35,0.83,Medium,33,No,Needs Attention,Low,Gaming,Sony,App,3,3,0.9602297151300435,31.5,0.47191450396751944,34,5,502878.0,502878.0,100575.6,0.8333333333333334,34,5026.0,2403.0,47.81138072460927,60.0,0.44335793276133223,1005.2,66.0,22.0,0.0,0.0,0.0,0.0,100.0,66.0,0.6,0.4,0.4,83813.0,5259394.83,1005756.0,150839.37,40.0,0.0,10.0,69.86227614492185,0,0,1
C0035,Bronze,2020-05-23,42,Male,Ahmedabad,CA,Medium,10,1155199,115519.9,Samsung,0.45,0.04,1.67,High,11,No,Needs Attention,Low,Audio,Samsung,App,5,4,0.9349775266604486,16.555555555555557,0.7133312935069742,12,10,1155199.0,1155199.0,115519.9,1.6666666666666667,12,11547.0,5163.0,44.71291240606832,30.0,0.40160236434225083,1154.7,122.0,17.0,0.0,0.0,0.0,0.0,100.0,78.0,0.8,0.2,0.6,192533.16666666666,14264058.84,2310398.0,346508.07,40.0,0.0,10.0,57.84258248121366,1,0,0
C0036,Platinum,2022-12-07,57,Male,Delhi,Student,Medium,10,899404,89940.4,Apple,0.42,0.06,1.67,High,5,No,Needs Attention,Low,Watch,Apple,App,4,2,0.8427376457282771,18.444444444444443,0.5610271221506276,6,10,899404.0,899404.0,89940.4,1.6666666666666667,6,8990.0,3761.0,41.83537258972706,50.0,0.372339371970756,899.0,103.0,21.5,0.0,0.0,0.0,0.0,100.0,78.0,0.6,0.4,0.6,149900.66666666666,6535299.7,1798808.0,269783.59,40.0,0.0,10.0,79.76707451794542,1,0,1
C0037,Bronze,2024-07-10,37,Female,Delhi,Manager,Low,5,469671,93934.2,Sony,0.2,0.02,0.83,Medium,4,No,Critical,Low,TV,Sony,App,4,3,0.960964044558291,42.75,0.447457498295693,5,5,469671.0,469671.0,93934.2,0.8333333333333334,5,4694.0,950.0,20.238602428123983,20.0,0.1561986186185488,938.8,27.0,18.6,0.0,0.0,0.0,0.0,72.6,59.424,1.0,0.0,0.0,78278.5,1918546.56,939342.0,140891.8,10.0,0.0,10.0,47.37492048562479,0,0,0
C0038,Silver,2020-05-04,50,Male,Bengaluru,Engineer,High,7,545076,77868.0,Bose,0.58,0.14,1.17,Medium,5,No,Needs Attention,Low,Audio,Bose,App,3,2,0.9141008892878475,26.5,0.8257605725743371,6,7,545076.0,545076.0,77868.0,1.1666666666666667,6,5446.0,3179.0,58.3731177775007,42.857142857142854,0.5393620621999287,778.0,76.0,16.142857142857142,0.0,0.0,0.0,0.0,100.0,66.0,1.0,0.0,0.2857142857142857,90846.0,6787147.56,1090152.0,163491.01,40.0,0.0,10.0,64.47462355550013,0,0,0
C0039,Bronze,2021-06-26,28,Female,Ahmedabad,CA,Low,5,619994,123998.8,Sony,0.45,0.0,0.83,Medium,22,No,Needs Attention,Low,Audio,Sony,Offline,2,3,0.7219280920019722,26.75,0.5449193156210128,23,5,619994.0,619994.0,123998.8,0.8333333333333334,23,6197.0,2780.0,44.86041625809196,60.0,0.36392197884026445,1239.4,37.0,22.8,0.0,0.0,0.0,0.0,96.8,65.232,0.4,0.6,0.0,103332.33333333333,6300938.34,1239988.0,185970.4,40.0,0.0,10.0,54.04168325161839,0,0,0
C0040,Bronze,2022-07-25,29,Female,Ahmedabad,CA,High,7,421412,60201.71,Google Nest,0.4,0.01,1.17,Medium,17,No,Needs Attention,Low,Security,Google Nest,App,4,3,0.9211854937031643,18.5,0.7919951398902534,18,7,421412.0,421412.0,60201.71428571428,1.1666666666666667,18,4210.0,1698.0,40.3325414718942,85.71428571428571,0.326538460910503,601.4285714285714,76.0,20.571428571428573,0.0,0.0,0.0,0.0,100.0,66.0,0.5714285714285714,0.42857142857142855,0.14285714285714285,70235.33333333333,3373603.53,842824.0,126406.62,40.0,0.0,10.0,53.36650829437884,0,0,0
C0041,Gold,2022-02-14,60,Female,Hyderabad,Manager,High,7,493849,70549.86,Samsung,0.38,0.13,1.17,Medium,37,No,Critical,Low,Audio,Samsung,App,3,2,0.8699155270429084,21.666666666666668,0.6521697790926871,38,7,493849.0,493849.0,70549.85714285714,1.1666666666666667,38,4935.0,1896.0,38.41945280968703,85.71428571428571,0.33421470062715547,705.0,93.0,18.857142857142858,0.0,0.0,0.0,0.0,100.0,66.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,82308.16666666667,4388867.5,987698.0,148135.74,10.0,0.0,10.0,67.9838905619374,0,0,1
C0042,Gold,2024-11-29,44,Male,Ahmedabad,Business,Low,10,863358,86335.8,Apple,0.47,0.07,1.67,High,44,No,Needs Attention,Low,Smartphone,Apple,App,3,2,0.9372305604854119,14.777777777777779,0.9455117241564693,45,10,863358.0,863358.0,86335.8,1.6666666666666667,45,8627.0,4024.0,46.644256350244284,60.0,0.42087647691572383,862.7,71.0,11.0,0.0,0.0,0.0,0.0,100.0,78.0,0.8,0.2,0.2,143893.0,2855404.42,1726716.0,258967.16,40.0,0.0,10.0,73.22885127004885,1,0,1
C0043,Silver,2024-01-20,29,Female,Delhi,CA,Medium,8,781638,97704.75,Apple,0.45,0.06,1.33,High,30,No,Needs Attention,Low,Audio,Apple,Online,5,3,0.9283832086629118,18.285714285714285,0.5509053473463984,31,8,781638.0,781638.0,97704.75,1.3333333333333333,31,7814.0,3492.0,44.689019651025056,25.0,0.40393290872882254,976.75,77.0,19.125,0.0,0.0,0.0,0.0,100.0,78.0,0.75,0.25,0.0,130273.0,3929055.08,1563276.0,234456.48,40.0,0.0,10.0,65.33780393020501,0,0,0
C0044,Gold,2024-07-21,53,Female,Ahmedabad,CA,High,7,499634,71376.29,Sony,0.52,0.09,1.17,High,4,No,Needs Attention,Low,Audio,Sony,Online,4,3,0.9211854937031643,23.333333333333332,0.7450482683252262,5,7,499634.0,499634.0,71376.28571428571,1.1666666666666667,5,4993.0,2583.0,51.732425291943876,57.14285714285714,0.4624060142097995,713.2857142857143,63.0,15.857142857142858,0.0,0.0,0.0,0.0,100.0,78.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,83272.33333333333,2010847.31,999268.0,149864.37,40.0,0.0,10.0,74.24648505838877,0,0,1
C0045,Silver,2019-09-09,29,Female,Mumbai,Doctor,Medium,7,716049,102292.71,Apple,0.45,0.01,1.17,Medium,43,No,Needs Attention,Low,Audio,Apple,Online,5,4,0.9165164400929279,20.333333333333332,0.9055324784223577,44,7,716049.0,716049.0,102292.71428571429,1.1666666666666667,44,7157.0,3218.0,44.96297325001681,71.42857142857143,0.38055818308827083,1022.4285714285714,54.0,20.857142857142858,0.0,0.0,0.0,0.0,100.0,66.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,119341.5,9849227.04,1432098.0,214782.52,40.0,0.0,10.0,61.79259465000336,0,0,0
